admin, Log-in, 13/05/2026 09:10:15
admin, Log-in, 13/05/2026 09:13:04
admin, Log-in, 13/05/2026 09:19:24
admin, Crear cliente, 13/05/2026 09:19:41
admin, Log-in, 18/05/2026 16:42:16
admin, Dispositivo eliminado, 18/05/2026 16:42:44
Cliente, Login Exitoso, 19/05/2026 21:56:04
Cliente, Login Exitoso, 19/05/2026 21:58:44
Cliente, Login Exitoso, 19/05/2026 22:05:42
Cliente, Login Exitoso, 19/05/2026 22:16:57
Cliente, Login Exitoso, 19/05/2026 22:17:05
Cliente, Login Exitoso, 19/05/2026 22:20:07
Cliente, Login Exitoso, 19/05/2026 22:20:19
Cliente, Login Exitoso, 19/05/2026 22:20:25
Cliente, Login Exitoso, 19/05/2026 22:31:04
Cliente, Login Exitoso, 20/05/2026 13:49:07
Cliente, Login Exitoso, 20/05/2026 13:49:32
Cliente, Login Exitoso, 20/05/2026 13:49:53
Cliente, Login Exitoso, 20/05/2026 13:50:35
Cliente, Login Exitoso, 20/05/2026 13:55:01
Cliente, Login Exitoso, 20/05/2026 13:57:37
Cliente, Login Exitoso, 20/05/2026 14:05:41
